iter	Passed	Remaining
0	227	226799
1	229	114411
2	231	76776
3	232	57896
4	234	46615
5	236	39142
6	238	33782
7	240	29819
8	241	26642
9	243	24087
10	244	21988
11	246	20309
12	248	18847
13	249	17580
14	250	16479
15	252	15550
16	254	14717
17	256	13982
18	258	13338
19	259	12732
20	260	12165
21	262	11648
22	263	11188
23	265	10778
24	266	10378
25	267	10006
26	268	9661
27	269	9346
28	270	9061
29	271	8786
30	272	8527
31	273	8283
32	274	8054
33	276	7849
34	277	7646
35	278	7454
36	279	7271
37	280	7098
38	281	6938
39	282	6790
40	283	6641
41	285	6502
42	286	6367
43	287	6242
44	288	6122
45	289	6004
46	290	5890
47	291	5781
48	292	5677
49	294	5591
50	295	5498
51	296	5406
52	297	5320
53	299	5241
54	300	5160
55	301	5081
56	302	5004
57	303	4932
58	304	4864
59	306	4798
60	307	4732
61	308	4666
62	309	4603
63	310	4544
64	312	4492
65	313	4437
66	314	4386
67	316	4336
68	318	4292
69	319	4242
70	320	4191
71	321	4143
72	322	4100
73	324	4060
74	325	4015
75	326	3971
76	327	3928
77	328	3886
78	329	3846
79	331	3807
80	332	3767
81	333	3728
82	333	3686
83	334	3650
84	335	3615
85	337	3582
86	338	3550
87	339	3517
88	340	3485
89	341	3455
90	342	3424
91	343	3394
92	344	3364
93	346	3337
94	347	3311
95	348	3282
96	349	3255
97	350	3228
98	351	3201
99	352	3175
100	354	3151
101	355	3128
102	356	3105
103	357	3082
104	358	3058
105	359	3035
106	361	3013
107	362	2991
108	363	2969
109	364	2947
110	365	2926
111	366	2905
112	367	2884
113	368	2864
114	369	2844
115	370	2826
116	371	2806
117	373	2788
118	374	2771
119	375	2753
120	376	2736
121	377	2718
122	378	2701
123	380	2686
124	381	2670
125	382	2655
126	383	2638
127	385	2625
128	386	2611
129	387	2595
130	388	2579
131	389	2563
132	391	2548
133	392	2538
134	393	2523
135	394	2508
136	395	2493
137	396	2479
138	399	2471
139	400	2458
140	401	2445
141	402	2430
142	403	2417
143	404	2405
144	406	2396
145	407	2383
146	408	2369
147	409	2357
148	411	2347
149	412	2335
150	413	2322
151	414	2310
152	415	2298
153	416	2289
154	417	2278
155	419	2267
156	420	2256
157	421	2245
158	422	2236
159	424	2226
160	424	2213
161	426	2203
162	427	2193
163	428	2185
164	430	2176
165	431	2165
166	432	2155
167	433	2145
168	434	2137
169	436	2129
170	437	2119
171	438	2109
172	439	2100
173	440	2091
174	442	2084
175	443	2075
176	444	2066
177	445	2058
178	447	2050
179	448	2042
180	449	2033
181	450	2024
182	451	2016
183	453	2009
184	454	2001
185	455	1993
186	456	1985
187	457	1977
188	459	1970
189	461	1966
190	462	1959
191	463	1951
192	464	1943
193	466	1937
194	467	1929
195	468	1921
196	469	1914
197	470	1906
198	472	1901
199	473	1893
200	474	1885
201	475	1878
202	476	1870
203	477	1863
204	478	1856
205	479	1849
206	480	1842
